sehir,isim,adres
 İSTANBUL,  BAĞCILAR MEYDAN 2 ,"
 İSTANBUL,  BAĞCILAR MEYDAN ,"
 İSTANBUL,  ARNAVUTKÖY BEBEK CAD.(İBB.SOS TES.ÖNÜ) ,"
 İSTANBUL,   YILDIZPOSTA CAD. ,"
 İSTANBUL,   YILDIZ ÇİÇEĞİ SOKAK ,"
 İSTANBUL,   VEFABEY SOKAK ,"
 İSTANBUL,   TAMBURİ ALİ EFENDİ ,"
 İSTANBUL,   ORTAKÖY DEREBOYU CAD.  ,"
 İSTANBUL,   MÜVEZZİ CAD.  ÇIRAĞAN OTEL ÖNÜ  ,"
 İSTANBUL,   MECİDİYEKÖY ORTAKLAR CAD. ,"
 İSTANBUL,   KARAKOL CAD. ,"
 İSTANBUL,   KANLICA ,"
   BEYKOZ 
 İSTANBUL,   IHLAMUR DERE CAD. ,"
 İSTANBUL,   FLORYA HAVUZLU BAHÇE ,"
 İSTANBUL,   BEYKOZ ,"
 İSTANBUL,   BEŞİKTAŞ HALK PAZARI ,"
 İSTANBUL,   B.TAŞ İSKELE CAD.  ,"
 İSTANBUL,   AKDOĞAN CAD.  ,"
 İSTANBUL, HALDUN ALAGAŞ,"
 ESKIŞEHIR, HÜNER," İSTİKLAL MAH. KONUK SOKAK NO:33 D:D     
 İSTANBUL, İSKELE OTOPARK," CEVİZLİK MAH. İSKELE CAD. NO:42 DAİRE:A     
 İSTANBUL, İSPARK," KURUÇEŞME MAH. MUALLİM NACİ CAD.     
 İSTANBUL, İSTİKLAL OTOPARK," KULOĞLU MAH. SADRİ ALIŞIK SOKAK NO:47     
 İSTANBUL, KAMİL SOK.," ORHANTEPE MAH. KAMİL SOK. NO:2     
 İSTANBUL, KARTAL 3,"
 ANTALYA, KİPA OTOPARKI," SARAY MAH. KASAPOĞLU SOKAK     
 İSTANBUL, KÜÇÜK OTOPARK," SOĞANLI MAH. GÜLAYLA SOKAĞI     
 İSTANBUL, MAXİ CITY," BAHÇELIEVLER MAH. LADIN CAD. NO:140    
 İSTANBUL, METRO GARAJ KAPALI OTOPARK," GÜMÜŞSUYU MAH. OSMANLI SOKAK NO:4 DAİRE:A     
 İSTANBUL, MUTLUOL GARAJI," MOLLA GÜRANİ MAH. SİGORTACILAR SOK.  NO:15 D:B     
 ANKARA, ON OTOPARKI," BAHÇELİEVLER MAH. AZERBAYCAN CAD. NO:36 D:C     
 ANKARA, OTOPARK," KAVAKLIDERE MAH. GÜFTE SOKAK NO:21 D:1     
 ANKARA, ÖZLEM SİTESİ KAPALI OTOPARK," UĞUR MUMCU MAH. 1587. CAD.     
 MERSIN, PLAJ YOLU OTO PARK," PİRİREİS MAH. 1106 SOKAK NO:22 D:A     
 ISPARTA, SAĞLIK OTOPARK," KEÇECİ MAH. HİLMİ ÇAKMAKCI CAD. NO:13    
 İZMIR, SAĞLIK OTOPARK," MİMAR SİNAN MAH. 1421 SOKAK NO:68     
 İZMIR, SAĞLIK OTOPARK," ILICA MAH. MİTHATPAŞA CAD. NO:285 D:E     
  NARLIDERE
 İSTANBUL, SABANCI ÖĞRETMEN EVİ ÖNÜ,"
 ANKARA, SABANCI İŞ MERKEZİ OTOPARK," KOCATEPE MAH. HATAY SOKAK     
 BOLU, SABAHATTİN YERİ KUZEY GİRİŞİ," YENİKÖY MAH. TEM OTOYOLU NO:2    
 SAMSUN, SAADET CAD.," 19 MAYIS MAH. SAADET CAD.     
 İZMIR, SA RA OTOPARK," KAHRAMANLAR MAH. 1428 SOKAK NO:6     
 İSTANBUL, S PARK OTOPARK," ETİLER MAH. AYAZMA YOLU SOK.      
 ANKARA, RÜZGARLI CAD.," DOĞANBEY MAH. RÜZGARLI CAD. NO:5     
 ANKARA, RÜZGARLI," DOĞANBEY MAH. EGE SOKAK NO:17     
 İSTANBUL, RÜSTEM PAŞA SOKAK,"
 İSTANBUL, RUMELİ HİSAR ÖNÜ,"
 ANKARA, ROMA HAMAMI OTOPARKI," DOĞANBEY MAH. ÇANKIRI CAD. NO:49 D:A     
 İSTANBUL, RİVA OTOPARK," AKŞEMSETTİN MAH. ŞEMSETTİN SAMİ SOK.  NO:55 D:A     
 İSTANBUL, RIO DE JENERIO CAD.," ATAKÖY 3 4 11. MAH. RIO DE JENERIO CAD. NO:15     
 İSTANBUL, REVANİ ÇELEBİ SOKAK,"
 ESKIŞEHIR, REŞADİYE ESNAFI OTOPARKI," İSTİKLAL MAH. REŞADİYE ESNAFI SOKAK NO:29    
 İSTANBUL, REŞADİYE CADDESİ," RAMİ YENİ MAH. REŞADİYE CAD.     
 ESKIŞEHIR, REŞADİYE," İSTİKLAL MAH. REŞADİYE ESNAFI SOKAK NO:29     
 İSTANBUL, RELAX CARPARK," SOFULAR CAD. İSKENDERPAŞA MAH. KARAKADI SOK. NO:10
  34230 
 İSTANBUL, RELAX CAR PARK," İSKENDERPAŞA MAH. KARAKADI SOKAĞI NO:10 D:A     
 YALOVA, REİSOĞLU OTOPARK VE YIKAMA," SÜLEYMAN BEY MAH. İSTANBUL CAD. NO:9    
 YALOVA, REİSOĞLU OTOPARK & YIKAMA," SÜLEYMAN BEY MAH. ARABACILAR SOKAK NO:1    
 İSTANBUL, REİS," BARBAROS HAYRETTİNPAŞA MAH. 1101. SOK.  NO:33     
 İSTANBUL, RECAR," YEŞİLKÖY MAH. KAZIM SİLİVRİLİ SOKAK NO:7 DAİRE:A     
 İSTANBUL, RAMİ OTOPARKI," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-R   
 İSTANBUL, RAMİ KIŞLA CAD.," RAMİ YENİ MAH. RAMİ KIŞLA CAD. İGTOS KIŞLA İÇİ   
 İSTANBUL, RAMİ AÇIK OTOPARKI,"
 HATAY, RAİF PAŞA OTOPARKI," ÇAY MAH. RAİF PAŞA CAD. NO:5    
 İSTANBUL, RAGIP GÜMÜŞPALA CAD.(CAMİİ ÖNÜ),"
 İSTANBUL, R 3 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-R   
 İSTANBUL, R 1 - R 2 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-R   
 İSTANBUL, R-3A OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-R   
 İZMIR, PUNTA KATLI OTOPARK," ALSANCAK MAH. 1456. SOKAK NO:10     
 İZMIR, PUNTA KATLI OTOPARK," ALSANCAK MAH. 1456 SOK. NO:10     
 ZONGULDAK, PTT TAKSİ DURAĞI," ÇATALAĞZI MAH. ATATÜRK SOKAK NO:55    
 İSTANBUL, PROFİLO OTOPARK," GÜLBAHAR MAH. 5. YIL SOKAK NO:8     
 İSTANBUL, PROF. DR. BÜLENT TARCAN OTOPARK," GAYRETTEPE MAH. PROF. DR. BÜLENT TARCAN SOKAK     
 İSTANBUL, PROF. DR. AHMET KEMAL ARU SOK.  İSPARK," LEVENT MAH. PROF. DR. AHMET KEMAL ARU SOK.      
 İSTANBUL, PRINCESS," ORTAKÖY MAH. DERE ÇIKMAZI SOK.  NO:24 D:5     
 İSTANBUL, PRF. DR.CEMİL BİRSEL CAD.,"
 İSTANBUL, PRF. DR. AHMET KEMAL ARU CAD. ,"
 İSTANBUL, POYRAZ YOL ÜSTÜ,"
 İSTANBUL, POYRAZ OTOPARKI," MECİDİYE MAH. BÜYÜK ŞEKERCİ SOK.  NO:32     
 ANTALYA, POLİS LOJMAN OTOPARKI," GÜLLER PINARI MAH. NAZMİAĞA SOKAK     
 ANTALYA, POLAT OTOPARK," VARLIK MAH. 202. SOKAK     
 İSTANBUL, POLAT OTOPARK," İNÖNÜ MAH. PAPA SOKAK NO:45 D:A     
 BALıKESIR, POLAT OTOPARK," CAMİVASAT Mah. INONU CADDESI       
 İZMIR, PİRİNÇ CENTER OTOPARK," BARBAROS MAH. 863 SOK. NO:5     
 İSTANBUL, PİERLOTİ CAD. ,"
 ŞANLURFA, PINARBAŞI OTOPARK," CAMİKEBİR MAH. 12 EYLÜL CAD. NO:90    
 İSTANBUL, PINAR OTOPARK," MERKEZ MAH. SİLAHŞÖR CADDE NO:40     
 MALATYA, PINAR," ŞİFA Mah. HALEP CAD.  NO:165    
 İSTANBUL, PEYKHANE CAD. ,"
 İSTANBUL, PENDİK SAHİL İDO,"
 İSTANBUL, PENDİK KATLI,"
    PENDİK 
 İSTANBUL, PENDİK İDO,"
 İSTANBUL, PENDİK DERE SOKAK,"
 İZMIR, PAZAR YERİ OTAPARK," REFET BELE MAH. 9131 - 14 SOKAK NO:23     
  KARABAĞLAR
 MUĞLA, PAZAR SOK.," ORHANİYE MAH. PAZAR SOK.     
 İSTANBUL, PAZAR OTOPARKI," HASANPAŞA MAH. UZUNÇAYIRYOLU CAD. NO:26 D:A     
 ZONGULDAK, PAZAR OTOPARK," MERKEZ MAH. TANYERİ SOKAK NO:36    
 İSTANBUL, PAŞAM OTOPARK," İSLAMBEY MAH. HZ. HALİD BULVARI     
 İSTANBUL, PAŞALİMANI," SULTANTEPE MAH MAH. PAŞALİMANI CAD. NO:36     
 ANKARA, PAŞABAHÇE SOKAK I," KAVACIK SUBAYEVLERİ MAH. PAŞABAHÇE SOKAK NO:6     
 İSTANBUL, PAŞA OTOPARK," AMBARLI MAH. REŞİT PAŞA CAD. NO:121     
 MALATYA, PAŞA OTOPARK," CEVHERİZADE Mah. MUCELLİ CAD.  NO:69    
 İZMIR, PAŞA OTO YIKAMA PARK," BİRLİK MAH. KEMALPAŞA CAD. NO:73     
 DENIZLI, PAŞA OTO," İNCİLİPINAR MAH. İNCİLİPINAR CAD. NO:18    
 İSTANBUL, PAŞA HAMAMI CADDESİ," AYVANSARAY MAH. PAŞA HAMAMI CAD. MOLLA AŞKI KÜLTÜR PARKI   
 İSTANBUL, PARLAK SOK.," HÜRRİYET MAH. PARLAK SOK. NO:54 D:A     
 MALATYA, PARLAK OTOPARK," İZZETİYE Mah. HAMİKOĞLU SOKAK NO:8    
 MALATYA, PARKLAND OTOPARK," HALFETTİN MAH. BARBAROS SOKAK NO:4    
 İSTANBUL, PARKİST OTOPARK," MECİDİYEKÖY MAH. MUSADAYI SOKAK NO:5 D:B     
 İSTANBUL, PARKİNG NETWORK," Bağdat Cad. no.205 Caddebostan 
  34728 
 İSTANBUL, PARKİNG," MERCAN MAH. FUATPAŞA CAD.     
 İSTANBUL, PARK ÖNÜ CAD.," KARTALTEPE MAH. PARK ÖNÜ CAD. NO:6     
 İSTANBUL, PARK OTOPARK," DÜĞMECİLER MAH. DÜĞMECİLER CAD. NO:10     
 ZONGULDAK, PARK OTO," MERKEZ MAH. ATATÜRK CAD. NO:18    
 İSTANBUL, PARK OTO," POSTANE MAH. TAHAFFUZHANE CAD. NO:48     
  TUZLA
 İSTANBUL, PARK GARAJ OTOPARKI," MERDİVENKÖY MAH. YALVAÇ SOK. NO:3     
 İSTANBUL, PARK," ADNAN KAHVECİ MAH. YAVUZ SULTAN SELİM BULVARI NO:32 PARADISE   
 ANKARA, PARİS," REMZİ OĞUZ ARIK MAH. PARİS CAD. NO:2     
 İZMIR, PARILTI OTOPARK," ETİLER MAH. 1254 SOKAK NO:12     
 İSTANBUL, PALMİYE OTOPARK," RASİMPAŞA MAH. HALITAGA CAD. NO:69 D:A     
 İSTANBUL, PALLADIUM OTOPARK," BARBAROS MAH. HALK CAD.     
 İSTANBUL, PALANDÖKEN OTO YIKAMA OTOPARK," HAMİDİYE MAH. ŞAHİNBEY CAD. NO:91     
 OSMANIYE, PALALI SÜLEYMAN CAD.," İSTİKLAL MAH. PALALI SÜLEYMAN CAD. NO:5    
 İSTANBUL, PAK OTOPARK," NİŞANCI MAH. KIZIL DEĞİRMEN SOK.  NO:8     
 İSTANBUL, PAK OTOPARK," MEHMET AKİF MAH. ŞAHİN CAD. NO:34     
 İSTANBUL, P 3 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-P   
 İSTANBUL, P 2 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-P   
 İSTANBUL, P-3A OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-P   
 MERSIN, ÖZYILMAZ OTOPARK," ÇANKAYA MAH. SOĞUKSU CAD. NO:53 D:E     
 MERSIN, ÖZYILMAZ AÇIK OTOPARK," BAHÇE MAH. 4602. SOKAK NO:10     
 İSTANBUL, ÖZTÜRK OTOPARK," MASLAK MAH. AHİ EVRAN (G-45) SOKAK NO:1 D:2/A     
 İSTANBUL, ÖZLEM OTOPARK," MERKEZ MAH. BAYRAMPAŞA CAD. NO:3     
 MALATYA, ÖZKAN OTOPARK," SALKÖPRÜ MAH. BOZTEPE CAD. NO:51    
 MALATYA, ÖZKAN KAPALI OTOPARK," SALKÖPRÜ MAH. İSMETİYE SOKAK NO:8    
 SAKARYA, ÖZKAN," TIĞCILAR MAH. KARAOSMAN SOKAK     
 İSTANBUL, ÖZİDAŞ OTOPARK," BATI MAH. SEBİL SOK. NO:1     
 DIYARBAKıR, ÖZGÜR OTOPARK," YENİŞEHİR MAH. LİSE CAD. NO:35 DAİRE:G    
 TEKIRDAĞ, ÖZER OTOPARK OTO YIKAMA," ORTACAMİ Mah. ÇINARLI ÇEŞME SOKAK NO:15 D:B    
 İSTANBUL, ÖZEN OTOPARK," ŞİRİNEVLER MAH. MAREŞAL FEVZİ ÇAKMAK 3.AĞI SOKAK NO:20     
 İSTANBUL, ÖZEN GARAJI OTOPARK VE OTO YIKAMA," VİŞNEZADE MAH. HÜSREV GEREDE CAD. NO:35 DAİRE:A     
 İSTANBUL, ÖZEL OTPARK," GÜLBAHAR MAH. ŞEHİT ERTUĞRUL KABATAŞ CAD. NO:34 D:A     
 İZMIR, ÖZEL OTOPARK," TOKOĞLU. MAH. 1016. SOKAK NO:7     
 İSTANBUL, ÖZEL OTOPARK," ALTUNIZADE MAH. NUHKUYUSU CAD. NO:90 D:1     
 ANTALYA, ÖZEL BAKIM SERVİSİ," MAHMUTLAR MAH. ATATÜRK CAD. NO:17 DAİRE:D MAHMUTLAR SANAYİ SİTESİ   
 MERSIN, ÖZDUY OTOPARK," ÇAY MAH. CUMHURİYET BULVARI NO:40 D:A     
 DENIZLI, ÖZDEN OTOPARK," TOPRAKLIK MAH. KAYALIK CAD. NO:94    
 İSTANBUL, ÖZDE OTOPARK," İSMETPAŞA MAH. ORDU CAD.     
 DENIZLI, ÖZCAN OTOPARK," SARAYLAR Mah. 420. SOKAK NO:17    
 İSTANBUL, ÖZCAN OTOPARK," ORTABAYIR MAH. TALATPAŞA CAD. NO:112     
 İSTANBUL, ÖZ KARABAYIR OTOPARK," UĞUR MUMCU MAH. M CAD. NO:90 D:A     
 İSTANBUL, ÖZ İŞ OTOPARK," MECİDİYEKÖY MAH. MECİDİYE CAD. NO:13     
 HATAY, ÖRGÜ OTOPARK," KUYULU MAH. ÖRGÜ SOKAK NO:8    
 İZMIR, ÖNDER OTOPARKİ," GAZİ MAH. ÖNDER CAD.     
  GAZİEMİR
 ANTALYA, ÖMÜRTUR OTOYIKAMA," OBAGÖL MAH. 6 SOKAK     
 İSTANBUL, ÖĞRETMEN EVİ OTOPARKI," ALTUNIZADE MAH. KALFA CESMESI SOKAK NO:1     
 TRABZON, ÖĞRETMEN EVİ OTOPARKI," CUMHURİYET MAH. YAVUZ SELİM BULVARI NO:177    
 TEKIRDAĞ, Ö. STAR MEDICA HASTANESİ OTOPARKI," ZAFER Mah. AHMET BEY BAYIRI SOKAK NO:18 D:A    
 MERSIN, OZORTAK GARAJI," ŞEVKETSÜMER MAH. 5951 SOKAK NO:4 D:A     
 İSTANBUL, OYCAN OTOPARKI," ORTAKÖY MAH. BULGURCU SOK.  NO:18     
 SIVAS, OTOPOL," MEHMET AKİF ERSOY MAH. 45-İSTİKLAL CAD. NO:30    
 OSMANIYE, OTOPARK ŞHT MEHMET TATLI," ALİBEYLİ MAH. DR.AHMET ALKAN CAD. NO:5    
 İSTANBUL, OTOPARK ÖDEME NOKTASI," YÜZYIL MAH. RÜZGARLI SOKAK NO:1 OTO CENTER-K   
 İSTANBUL, OTOPARK OTO YIKAMA," CENNET MAH. BARBAROS CAD. NO:24 D:A     
 İSTANBUL, OTOPARK KINACI MEHMET," KATİP KASIM MAH. KINACI MEHMET SOK.  NO:9     
 İZMIR, OTOPARK KARDELEN," YENİGÜN MAH. 1308 SOKAK NO:16     
 SINOP, OTOPARK AYBED," YALI MAH. GAZHANE CAD. NO:3    
  AYANCIK
 İSTANBUL, OTOPARK ASKER," KATİP KASIM MAH. ASKER SOK.  NO:1     
 İZMIR, OTOPARK," KAZIMDİRİK MAH. 172 . SOKAK NO:1 D:41 E.Ü   
 MERSIN, OTOPARK," ÇANKAYA MAH. 4738. SOKAK NO:6 D:A     
 MERSIN, OTOPARK," HUZURKENT MAH. İNÖNÜ BULVARI     
 İZMIR, OTOPARK," ONUR MAH. MİTHATPAŞA CAD. NO:1462 KİPA AVM   
  BALÇOVA
 MERSIN, OTOPARK," YENİCE KASABASI MAH. E5 NATO YOLU     
 ANKARA, OTOPARK," MEŞRUTİYET MAH. MEŞRUTİYET CAD. NO:18 D:1 ÇELİK İŞHAN   
 İZMIR, OTOPARK," AOSB MAH. 10006. SOKAK NO:42 AOSB   
  ÇİĞLİ
 İZMIR, OTOPARK," BOSTANLI MAH. CENGİZ KOCATOROS SOKAK NO:98     
 İZMIR, OTOPARK," BOSTANLI MAH. 1735. SOKAK NO:167     
 ANKARA, OTOPARK," KAVAKLIDERE MAH. BUĞDAY SOKAK NO:5     
 ANKARA, OTOPARK," KAVAKLIDERE MAH. TUNALI HİLMİ CAD. NO:67     
 ANKARA, OTOPARK," GÜVENEVLER MAH. ALAÇAM SOKAK NO:1 D:A     
 ANKARA, OTOPARK," KAVAKLIDERE MAH. GÜFTE SOKAK NO:14     
 ANKARA, OTOPARK," DOĞANBEY MAH. SEBZE BAHÇELERİ CAD.     
 İZMIR, OTOPARK," KAZIMDİRİK MAH. 372. SOKAK     
 BALıKESIR, OTOPARK," AKCAY Mah. SAKARYA CADDESI       
 İZMIR, OTOPARK," ATATÜRK Mah. PEMBE SK.       
  FOÇA
 BALıKESIR, OTOPARK," HAYRETTİNPAŞA Mah. BARBAROS CAD.    NO:100     
  AYVALIK
 BALıKESIR, OTOPARK," HAYRETTİNPAŞA Mah. 8. SOKAK   NO:20     
 BALıKESIR, OTOPARK," HAYRETTİNPAŞA Mah. 3. SOKAK   NO:26     
 BALıKESIR, OTOPARK," SOĞANYEMEZ Mah. KURŞUNLU CAD.    NO:25     
 BALıKESIR, OTOPARK," SOĞANYEMEZ Mah. ZÜBEYDE HANIM CAD.    NO:23     
 BALıKESIR, OTOPARK," AKCAY Mah. TURGUT REIS CADDESI       
 BALıKESIR, OTOPARK," CAMİVASAT Mah. MENDERES BULVARI   NO:21/B     
 BALıKESIR, OTOPARK," ÖREN Mah. OREN MEYDANI       
 BALıKESIR, OTOPARK," CAMİVASAT Mah. HÜRRİYET CAD.    NO:5     
 İSTANBUL, OTOPARK," YAVUZ SELİM MAH. İSTANBUL CAD. NO:1 ESENLER OTOGAR   
 İSTANBUL, OTOPARK," ZİYAGÖKALP MAH. ATATÜRK CAD. NO:1 DOLAPDERE OTO SAN SİT   
 BALıKESIR, OTOPARK," KASAPLAR MAH. 23_SOMA CAD. NO:11 DAİRE:A    
 TRABZON, OTOPARK," YENİ MAH. ADNAN MENDERES CAD. NO:8    
  AKÇAABAT
 ORDU, OTOPARK," MUSTAFAKEMALPAŞA MAH. İNÖNÜ CAD. NO:43 DAİRE:A    
  FATSA
 İSTANBUL, OTOPAR," ZİYAGÖKALP MAH. ATATÜRK CAD. NO:21 GÜNGÖREN SAN SİT 17. BLOK   
 İSTANBUL, OTOGAR YANI OTOPARKI," ALTINTEPSİ MAH. OTOGAR YANI CAD. NO:1 BAYRAMPAŞA CARREFOUR SA   
 İSTANBUL, OTOGAR OTOPARK," BATI MAH. HAT BOYU CADDE NO:5     
 MERSIN, OTO PARK," CAMİ ŞERİF MAH. 118. CAD. NO:4     
 İZMIR, OTO OTOPARK," VALİ RAHMİ BEY MAH. 325 SOKAK NO:11     
  BUCA
 İSTANBUL, OTO CENTER OTOPARK 3," YÜZYIL MAH. RÜZGARLI SOKAK NO:7    
 İSTANBUL, OTO CENTER OTOPARK 2," YÜZYIL MAH. RÜZGARLI SOKAK NO:8    
 İSTANBUL, OTO CENTER OTOPARK 1," YÜZYIL MAH. RÜZGARLI SOKAK NO:9    
 ANKARA, OTO BANYO," BARBAROS MAH. TUNALI HİLMİ CAD. NO:67     
 İSTANBUL, OTİM PARK," GAYRETTEPE MAH. PROF. DR. BÜLENT TARCAN SOKAK     
 İZMIR, OTEL OTOPARK," ONUR MAH. MİTHATPAŞA CAD. NO:1460 D:2 EGEPARK AVM   
 İZMIR, OTAPARK," ONUR MAH. MİTHATPAŞA CAD. NO:1440 D:Z BALPA İŞ MERKEZİ   
 İSTANBUL, OSMANBEY OTOPARK," MEŞRUTİYET MAH. TUĞRUL SOKAK NO:4 D:A     
 KAYSERI, OSMAN KAVUNCU BULVARI," OSMAN KAVUNCU MAH. CEYLAN SOKAĞI NO:1 D:A     
  MELİKGAZİ
 ANTALYA, OSMAN GAZİ CAD.," ZEYTİNLİK MAH. OSMAN GAZİ CAD. NO:11 DAİRE:E     
 SAKARYA, ORUÇ," ORTA MAH. KÜÇÜK HAMAM CAD. NO:18     
 SAKARYA, ORUÇ," TIĞCILAR MAH. TURAN CAD.     
 İSTANBUL, ORTAKÖY OTOPARKI," ORTAKÖY MAH. BULGURCU SOK.  NO:43 D:1     
 İSTANBUL, ORTAKÖY KAPALI OTOPARKI," YILDIZ MAH. ORTAKÖY SALHANESİ SOKAĞI NO:10 D:A     
 İSTANBUL, ORTABAHÇE CADDESİ," SİNANPAŞA MAH. ORTABAHÇE CAD.     
 MERSIN, ORHAN OTOPARK," ÇANKAYA MAH. SOĞUKSU CAD. NO:48     
 İSTANBUL, ORTA ÇEŞME CAD.," MERKEZ MAH. ORTA ÇEŞME CAD. NO:51     
 İZMIR, ORGANİK ÜRÜNLER HALK OTO PARKI," ERGENE MAH. 554. SOKAK NO:5 D:B     
 İSTANBUL, ORDU CAD. ,"
 İSTANBUL, ONUR OTOPARK," MERKEZ MAH. ÇELİK SOK. NO:1 D:E     
 DENIZLI, ONUR OTOPARK," SARAYLAR Mah. 464. SOKAK NO:5    
 ANKARA, ONUR OTO GRAJI," MALTEPE MAH. ONUR SOKAK NO:3     
 İSTANBUL, ONUR KAPALI OTOPARK," GÜLBAHAR MAH. ALTAN ERBULAK SOKAK NO:11 D:D     
 KARABÜK, ONBAŞI OTOPARK," BAYIR MAH. MENDERES CAD. NO:107    
 SAMSUN, OMÜ OTOPARK," KÖRFEZ MAH. ATATÜRK BULVARI NO:5     
  ATAKUM
 İSTANBUL, OLİMİK KAPALI OTOPARK," FEVZİÇAKMAK MAH. FATİH CAD. NO:50 DAİRE:A     
 İSTANBUL, OLIVIUM OTOPARK," BEŞ TELSİZ MAH. 71. SOKAK NO:1 OLIVIUM   
 MUĞLA, OKYAY OTOPARK," KEMERALTI MAH. 56. SOK. NO:3     
 İSTANBUL, OKYANUS AÇİK OTOPARK," MEHMET AKİF MAH. OKAY CAD. NO:17 D:B     
 İZMIR, OKTAYLAR KAPALI OTOGARAJ," ÇİMENTEPE MAH. 560. SOKAK NO:10 D:A     
 İSTANBUL, OKTAY CEBECİ OTOPARK," MERKEZ MAH. OKTAY CEBECİ SOKAK NO:34     
 İSTANBUL, OKÇU MUSA CD.,"
   BEYOĞLU 
 İSTANBUL, OKAN ÜNİVERSİTESİ," GÜLBAHAR MAH. AVNİ DİLLİGİL SOKAK NO:18     
 İSTANBUL, OĞUZHAN GARAJI," MOLLA GÜRANİ MAH. OĞUZHAN CAD. NO:4 D:D     
 İSTANBUL, OĞUZHAN CAD. ,"
 İSTANBUL, ODUN KAPISI YOKUŞU SOKAK,"
 İSTANBUL, ODAKULE ÖNÜ,"
 İSTANBUL, O 5-OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-O   
 İSTANBUL, O 4-OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-O   
 İSTANBUL, O 3- OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-O   
 İSTANBUL, O 1 - O 2 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-O   
 İSTANBUL, NURPAK OTOPARK VE OTO YIKAMA," EMİRGAN MAH. KOZA SOKAK NO:6     
 İSTANBUL, NUR OTOPARK," MAREŞAL ÇAKMAK MAH. BİRSEL SOK.  NO:4 D:A     
 İSTANBUL, NUR OTOPARK," BOZKURT MAH. SADRİ MAKSUDİ ARSAL SOKAK NO:6 D:A     
 İSTANBUL, NUHKUYUSU CAD.," ALTUNIZADE MAH. NUHKUYUSU CAD. NO:94 D:1     
 İSTANBUL, NORTAŞ OTOPARK," MASLAK MAH. ESKİ BÜYÜKDERE CAD. NO:237 D:1     
 İSTANBUL, NOKTA OTOPARK," RASİMPAŞA MAH. HALITAGA CAD. NO:59     
 İSTANBUL, NİŞANCA OTOPARK," NİŞANCA MAH. TÜRKELİ CAD. NO:79     
 İSTANBUL, NİLAY OTOPARK," SANCAKTEPE MAH. 10. SOKAK NO:7     
 İSTANBUL, NİKAH DAİRESİ OTOPARKI," TÜRKALİ MAH. IHLAMURDERE CAD. NO:127 D:A     
 KASTAMONU, NEZİH OTOPARK," HİSARARDI MAH. ŞEYH ŞABANI VELİ CAD. NO:1 D:B    
 ANKARA, NEVZAT USTA OTOPARKI," YUKARI BAHÇELİEVLER MAH. 61. SOKAK NO:23 D:A     
 ANKARA, NERGİZ OTOPARK," KIZILAY MAH. MENEKŞE 1 SOKAK NO:10 D:H     
 ANKARA, NERGİZ," ANAFARTALAR MAH. ANAFARTALAR CAD.     
 MALATYA, NEHİR OTOPARKI," K.HÜSEYİNBEY Mah. SİVAS CAD.  NO:4 D:A    
 İSTANBUL, NEHİR OTOPARKI," CUMHURİYET MAH. NEHİR SOKAĞI     
 İSTANBUL, NECİPBEY OTOPARK," MERKEZ MAH. NECIPBEY SOK.  NO:16     
 İSTANBUL, NECİP FAZIL AÇIK OTOPARK," YUKARI DUDULLU MAH. NECİP FAZIL BULVARI     
 SAMSUN, NECİP BEY CAD.," HANÇERLİ MAH. NECİPBEY CAD. NO:95 D:A     
 İSTANBUL, NAZAR OTOPARK," MUSTAFA KEMAL PAŞA MAH. CAMI SOKAK NO:110     
 DENIZLI, NANOPARK," MEHMETÇIK MAH. 2634. SOKAK NO:10    
 İSTANBUL, NAMIK KEMAL CAD. ,"
   AVCILAR 
 İSTANBUL, NAKİLBENT SOKAK,"
 İSTANBUL, N 5 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-N   
 İSTANBUL, N 4 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-N   
 İSTANBUL, N 3-OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-N   
 İSTANBUL, N 1 - N 2 OTOPARK," GÖZTEPE MAH. RAMİ SOKAK NO:1 İSTOÇ MARKET-N   
 ANTALYA, MYRA OTOPARK," ALAKENT MAH. KARABUCAK CAD. NO:13     
  DEMRE
 İSTANBUL, MÜSELLES SOK,"
