isim,tel,adres
Gumuskapi Iskender,6466036,Atisalani Cad. No:13/A
Kaya Kumru,5013773,Demirkapi Cad. Karagoz Is Hani No:3/D
Etiler Marmaris Bufe,6425851,Adnan Menderes Cad. No:26/A
Gaziantepli Hacibayram,5772620,Kayisdagi Cad. No:121
Birtat Tantuni,4675666,Semsettin Gunaltay Cad. No:212/C
Natural Sofra,2499779,Kemankeş Mah. Mumhane Cad. No:15 Beyoğlu
Izhar Restaurant,6372210,Keresteciler Sitesi Fatih Cad. Karadal Sok. D:2
Karisik Pizza,3246590,4. Levent Yeniceri Sok. No:26
Istekli Kebap & Lahmacun,3492360,Acibadem Mah. Asaf Bey Sok. No:8/B
Gaziantep Nazenin Kebap,6442727,Izzettin Calislar Cad. No:30
Kolej Bufe,4850168,Acarlar Mah. 9. Cad. Arda Is Merkezi D:T-5
Mamma Mia Pizza,2026860,Garanti Koza Carsisi B Blok D:7/S
Konya'dan Tandir Etli Ekmek,5852121,Altimermer Cad. No:7/B
Marmaris Bufe,3227411,Tan Sok. Corner Sitesi D:2
Anatolia Manti ve Cig Borek,4569365,38. Ada Ata Blok No:3 D:2
Cafe Likapa,2712328,Zumrutevler Sahinci Sok. No:1
Koy Durum,6426256,Mimar Sinan Mah. Aydin Menderes Cad. No:22
Mensur Bafra Pide,3563605,Yeni Yol Hamam Sok. No:18
Lapi Lahmacun,4662206,Cevizli Mah. Hamdi Pasa Mektebi Sok. No:30
Lezziz Kofte & Piyaz,4734363,Toros Cad. No:14
Bahceli Iskender Kebapcisi,6447078,Bahcelievler Mah. Ferit Selim Pasa Cad. No:60
Konya'dan Etli Ekmek,8542828,Beylikduzu Mah. Cumhuriyet Cad. 1997 Sok. Park Konutlari B Blok No:3/A
Flu Garden Restaurant,2245001,Mesrutiyet Mah. Akkirman Sok. No:37
Arsamiea Etsiz Cig Kofte,2665253,Fulya Mah. Mehmetcik Cad. Emiroglu Sok. No:20/A
Ozen Kebap,5737486,Kayisdagi Yolu Cad. No:3/B
Kutu Doner,5808529,Yenisehir Mah. Viyana Sok. No:24
Komagene,4633513,Kocayol Cad. Kozyatagi Sok. Sezgin Apt. No:12/B
Lezzet Restaurant,2663557,Dr. Ismet Ozturk Cad. No:20/A
Match Cafe,3464419,Nazmi Akbaci Ticaret Merkezi No:19/D
Atasehir Kokorec,4569339,36 Ada Ata Blok No:2 D:22
Marin Cafe Pizzeria,5597733,7-8. Kisim Ata Sitesi Deniz 8 Blok D:57
Kebapcim Halilbey,5555122,Adnan Kahveci Bulv. No:57/A
Metro Pub,2161099,Buyukdere Cad. No:120
Cira Cig Kofte,5728888,Incirli Cad. Asiller Sok. No:2
Meshur Tekirdag Koftecisi Ali,2430443,Siraselviler Cad. Soganci Sok. No:9
Sef Makbul,2756699,Balmumcu Mah. Barbaros Bulv. Bayindir Cikmazi No:138/A
Moston Cafe,3523717,Bagdat Cad. No:343/B
Etiler Marmaris Bufe,4422833,Adnan Kahveci Bulv. No:38/A
Gulogullari,4419123,Adnan Kahveci Bulv. Camlik Cad. No:143
Orkide Cafe,5753898,Karsli Ahmet Cad. Birlik Pasaji No:25 D:7
Burgy's,6718824,OSB Ataturk Bulv. Deposite Outlet Merkezi K:Zemin
Izmir Midye Dolmasi Midyesel,4678006,Ataturk Cad. No:27
Enna Cafe & Restaurant,2292102,Adnankahveci Mah. Gurpinar Yolu Keles Plaza No:11 D:6
Biyer Akcaabat Kofte ve Pide,8534488,Cumhuriyet Mah. Cumhuriyet Cad. Beypalas Sitesi No:B1/A
Nostalji Cafe & Restaurant,2714508,Kumsal Arkasi Sok. No:7
Mavi Yunus Fish Restaurant,4567488,38. Ada 3/2 Ata Blok No:2
Nergis Kebap,2214279,Kestanelik Sok. No:13 D:1
Iskenderci,4163936,Ali Nihat Tarlan Cad. No:15
Orkinos Balik,2646852,Ortabayir Mah. Talat Pasa Cad. No:6
Koz Kebap,5592666,Atakoy 8. Kisim C4 Blok D:B-10
Site Balık,2671687,Mevlüt Pehlivan Cad. No:9 Şişli
Fred's Chicken Rotisserie,5093509,Resit Pasa Cad. Fatih Sok. Omer Okutan Is Merkezi No:17
Fisho,3801910,Buyukdere Cad. Istanbul Cevahir Alisveris ve Eglence Merkezi No:22 K:6 D:A613
Istanbul Koftecisi,6719807,OSB Turgut Ozal Cad. D:107
Marmaris Bufe,6884848,Barbaros Mah. Dereboyu Cad. Fulya Sok. Uphill Court No:1/B
Gaziantep Eyup Sultan Sofrasi,5842103,Ilyas Bey Cad. No:68
Has Doydum,3158570,Libadiye Cad. No:105
China Wok,2993399,Koybasi Cad. No:84/A
Gulce Ev Yemekleri,3550225,Inonu Cad. Camli Park Sok. No:5/C
Ozveren Kebap,2271865,Abbasaga Mah. Jandarma Mektebi Sok. No:12/A
Gaziantep Bilal Kebap,2402959,Huzur Sok. No:15/A
Ipar Pizza & Kebap,3525073,Zeytinoglu Cad. No:111/B
Gorkemli Doner,3870068,Petrol Is Mah. Atalar Cad. No:140
Santral Cafe & Restaurant,5437638,Yeni Incirli Yolu Sok. No:15 D:2
Guney Mersin Tantuni,3625266,Emin Ali Pasa Cad. No:117 D:3
Selcuk Usta Ev Yemekleri & Mangal,3522198,Talat Pasa Cad. No:8/A
Selimiye Balikcisi,3919487,Kisla Cad. No:18
Sila Tantuni,4502467,Fahrettin Kerim Gokay Cad. No:88 D:3
Soli Tantuni,3521133,Cevher Sok. No:7/A
Ilyas Usta Kebap & Pide,6699130,Basaksehir Mah. Pazar Turk Mevki
Park Pizza & Pide,5521721,Zafer Mah. Calislar Sok. No:19 D:6
Sirin Urfa Lahmacun & Kebap,2534520,Fetihtepe Mah. Ozgul Sok. No:73/A
The Other House,00902123439555,Çorbacı Çeşmesi Sk. No:33
Salas Balik,3046399,Nisantepe Mah. Turgut Ozal Bulv. No:172
San Pide & Lahmacun,6498151,Abdi Ipekci Cad. No:13
Burger Borsasi,2575603,Hisarustu Mah. Nispetiye Cad. No:123/A
Sampi,4749999,Mahir Iz Cad. No:5 D:16
Lamal Cafe & Restaurant,5050517,Calislar Cad. No:17/A
Sofra Keyfi Restaurant & Cafe,5720676,Kucukbakkalkoy Yolu No:55/C
Tadim Bufe'm,5516263,Maresal Fevzi Cakmak Cad. 3. Sok. No:5 D:3
Umut Bursa Iskender,4417313,Eski Londra Asfalti No:60
Kizilirmak Bafra Pide Salonu,2923287,Rihtim Cad. No:46
Encoy Cafe ve Restaurant,4504846,Resit Pasa Sok. Onol Apt. No:8/B
Tavukcuzade,5893010,Denizabdal Mah. Basvekil Cad. No:39/A
Yayla Sark Sofrasi,5569192,Deli Huseyin Pasa Cad. Elvan Sok. No:1/A
Taze Balik,2774050,Fatih Sultan Mehmet Mah. Bilgi Sok. No:5/B
Mas & More,3462308,Ahi Evran Cad. Nazmi Akbaci Is Merkezi No:17
Turkwich Cafe,2635200,Hisarustu Mevki Cami Sok. No:12
Takko Fast Food,3611313,Kozyatagi Mah. Ankara Asfalti Demirmen Yolu Sok. No:13/A
Etiler Marmaris Bufe,8714649,Cumhuriyet Mah. Gurpinar Yolu Keles Plaza No:11 D:2
Simsek Pide & Doner,3386734,Kusdili Cad. No:35
Viran Durum Evi,3160404,Atakent Mah. Mithat Pasa Cad. No:29 D:13
Lale Kebap & Yemek Salonu,5553103,Soganli Mah. Cumhuriyet Cad. Cavus Pasa Meydani No:2
Hekimoglu Pide,4930004,Topcular Mah. Rami Kisla Cad. Hekimoglu Plaza No:67/B
Tek Manti,2452484,Purteles Mah. Susam Sok. No:21/A
Vittoria Pizza,2919616,Vali Konagi Cad. No:5
TBC Turkish Burger,3479880,Balmumcu Mah. Gazi Umur Pasa Sok. No:47/A
Unlu Kokorec,2891206,Mezarlik Sok. No:2
My Ora,2785252,Ulus Mah. Adnan Saygun Cad. Deniz Sitesi B Blok D:42
Turunc Yemek Evi,6965507,Ataturk Mah. Lale Sok. No:23 K:2
Usttat Bistro Cafe,5653058,Fahrettin Kerim Gokay Cad. Yamac Apt. No:154 D:8
Cadde Marmaris Bufe,4164576,Semsettin Gunaltay Cad. No:125/A
Caddebostan Yufka Durum,4670049,Cemil Topuzlu Cad. Mevsim Apt. No:91/B
Superbi Burger,2690714,Esentepe Mah. Ecza Sok. No:10/A
Yenigun Bufe,6611636,9-10. Kisim Karanfil Sok. Atrium Alisveris Merkezi K:Zemin D:5
Mena Meshur Edirne Tava Cigeri,2914020,Halaskargazi Cad. Balcik Tarlasi Sok. No:2
Oz Bereket Kebap,2997532,Ferahevler Mah. Vatan Cad. Zafer Sok. No:31
Volkan Kebap,5765883,Kayisdagi Cad. No:15
Sucu Kardesler Kebap,3322365,132. Sok. No:34
Pepino Cafe & Fast Food,5333303,Site Mah. Samanyolu Cad. Okul Sok. No:67
Imparator Kebap,8554004,Adnan Kahveci Mah. Yavuz Sultan Selim Bulv. No:29
Yore Tarihi Rumeli Koftecisi,3662424,Bagdat Cad. No:114
Secil Simit Cafe,6122211,Abdi Ipekci Cad. No:17
Pide & Pide,6800412,Soguksu Mah. Salkim Sok. No:2
Pide 34/55,2748080,Vefabey Sok. No:16/A
Sutte,2865605,Buyukdere Cad. No:71 K:Bodrum
Onikiler Kebap,5658580,Mandira Cad. No:239
Ozurfa Kebap,5069611,Mustafa Kemal Pasa Cad. No:24/A
Sebat,3526075,Ulus Mah. Adnan Saygun Cad. Leylah Apt. No:1 D:14/B
Pide De Samsun,4568355,Baraj Yolu Cad. No:28
Vedat Usta Iskembe & Ev Yemekleri,4568484,Ataturk Mah. 36 Ada Turgut Ozal Bulv. Ata 2/3 Blok D:10
Yonca Ev Yemekleri,5607128,7-8. Kisim Ata Sitesi C4 Blok
Sinibey 2 Kebap Salonu,3224073,Camlik Mah. Gokturk Beldesi Salkim Sok. No:1/B
Meshur Kebapci Baba,5872005,Silivrikapi Cad. No:3
Sirin Bursa Iskender Kebapcisi,4364036,Bakirkoy Cad. No:85
Piknik Cafe & Restaurant,2732684,Yildiz Posta Cad. No:52 D:18/A
Pikonti,3422424,Rumeli Feneri Yolu Emlak Bloklari No:3 D:3/B
Pilavcialiusta.com,2127616,19 Mayis Mah. Ascilar Sok. Ergun Apt. No:19
Pilicland,5910101,Merkez Mah. Fatih Sok. No:28 D:6
Yaman Kofte,3514807,Tepecik Yolu Emin Sok. Narin Sitesi No:78/B
Pissti Ev Yemekleri,4672864,Bagdat Cad. Sarigul Sok. No:24 D:1/B
Havuzz,5410088,Dr. Esat Isik Cad. Dilbay Apt. No:33/A
Cemal Usta Dürüm Evi,5399837,Çavuş Başı Cad. No:36 Bahçelievler Merkez
Istanbul Pizza,2616117,Abbasaga Mah. Jandarma Mektebi Sok. No:30/B
Pizza United,2253325,Duatepe Mah. Ergenekon Cad. No:119/A
Yeni Dogus Iskender ve Kebap Salonu,4666890,Nato Yolu Kibris Cad. No:166
Raffaele Pizza,6693575,Selale Cad. Terrace Garden No:29
Reel Akcaabat Koftecisi,8760663,Merkez Mah. Hurriyet Bulv. Hayat Plaza No:72 D:7
Namzade Mangal Başı,6559291,Cumhuriyet Cad. No:12/A Bağcılar
Rumi Etli Ekmek,5462512,Prof. Dr. Muammer Aksoy Cad. Olivium Outlet Center No:1/1 K:3 D:144
Hazal Ana Iskender Kebapcisi,2758910,Ali Samiyen Sok. D:3-5
Kebapci Kucuk Sait,8525965,Beylikduzu Mah. Academia Center K:Zemin
Marmaris Bufe,5808090,36 Ada Sedef Cad. K:Zemin D:2-4
Nezzet Et & Kebap,6771464,Tepeoren Mah. Okan Universitesi Kampusu Ballica Yolu
Emelce Cafe,3698523,Bağdat Cad. No:257 Kadıköy
TLG Chicken,"
",Barbaros Bulv. No:21
TLG Chicken,"
",Istinye Cad. No:142
TLG Chicken,"
",Yasarbey Sok. No:11/B
Go Meso,+(90)212 345 58 88,Pinar Mahallesi Katar Caddesi No:73 Istinyepark Avm
TLG Chicken,"
",Alemdag Cad. Tuna Sok. No:3/A
Sakiz Gida,3366536,Dr. Esat Isik Cad. Keresteci Aziz Sok. No:40
Kafedam,3515134,Seher Yildizi Sok. No:51/A
Kofteci Kamil,2724967,Ortaklar Cad. Denizhan Sok. Saritepe Apt. No:3/B
Harvest,2902660,Meydan Sok. Veko Giz Plaza No:20 D:83
Meshur Cig Kofteci Kucuk Usta,3271766,Dereboyu Cad. No:95/A
Has Gaziantep Kebap,3370452,Fahrettin Kerim Gokay Cad. Sarayonu Sok. No:42
Ohri Balik Restaurant,5999010,Basinkoy Mah. Istanbul Cad. No:25/A
Et Yiyelim,5519040,Fetih Cad. No:49
Anadolu Çiğköfte,5437582,Osmaniye Mah. Adalet Sok. No:12/C Bakırköy
Çıtır Usta,0212 353 62 66,"Zorlu Center, Levazim Mh, Barbaros Bulvari Kavsagi"
Altin Sini,5905255,Dr. Sadik Ahmet Cad. No:230 D:2
Caramella,284 6716,Oto Sanayi Sitesi Huzur Mah. Ulubas Cad. No. 4 D 4 Levent
Marmaris Bufe,5601694,7. Kisim 13. Blok D:97
Avrupa SMS Burger,2727167,Fulya Mah. Mehmetcik Cad. No:6/B
Dobu Hot Dog,5608007,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:B1
Great Dong Fang,6616515,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:2
MyFish,6614999,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:2
İntiba Restoran,2364400,Sinan Paşa Mah Şair Leylo Sok.No:2 Beşiktaş
Dürümcü Hasan Usta,2192775,Vali Konağı Cad. Şehit İsmet Armağan Sok. No:11/A Şişli
Saladstation,2430127,Tomtom Mah. Istiklal Cad. No:189/B
Hain Balık,3601091,Cemil Topuzlu Cad. No:135/A Kadıköy
Nazar Cafe,3842636,Kaya Sultan Korkut Sok. Serdar Bey Apt. No:21/C
Yesil Yurdum Sofrasi,6529743,Mahmut Bey Cad. No:100
"Tur""lu",3801314,Buyukdere Cad. No:22
Gazi Cigkofte,5386483,Cevatpasa Mah. Adem Yavuz Cad. No:65 D:5
Etiler Marmaris Bufe,5831515,Incirli Cad. No:1/B
Et'n More,3027624,Bagdat Cad. No:349/D K:2 D:2
Nevis Ev Yemekleri,4289951,Acibadem Mah. Faikbey Mecidi Sok. No:35 D:3
Safinaz Bufe,6713377,Gungoren OSB
Yagiz Restaurant,5445500,Yenigun Mah. Maltepe Cad. Timas Alisveris Merkezi No:4 K:1 D:260
Mis Konyali Etli Ekmek ve Kebap Salonu,3246446,Fetih Mah. Karaman Ciftlik Yolu No:3/A
Marmara Bufe,2412202,Valikonagi Cad. Sair Nigar Sok. Ceylan Palas Apt. No:1/C
Defna Kebap,5921553,Battalgazi Mah. Bosna Bulv. No:118 Mimar Sinan
Red Lara Cafe & Restaurant,6766734,Cumhuriyet Cad. Selcuk Apt. No:10
Vatan Kafe,02125324546,Murat Pasa Mahalesi Sehit Mehmet Cetinkaya Parkici
Özgür Izgara,2244870,İzzetpaşa Çiftliği Mah. Yeni Yol Cad. Vefa Poyraz Sok. No:13 Şişli
Irem Kebap,5620052,Davut Pasa Mah. 69. Sok. No:6 D:3
Asos Restaurant,2882733,Kore Sehitleri Cad. No:44
CORDİA SES,902126218491,21-41 Filiz Sokak
Bahtiyar Usta,3835339,Cevizli Mah. Mustafa Kemal Cad. No:21
Fatosun Mutfagi,4602680,Goksu Mah. Sadri Alisik Cad. No:15/A
Macha Cafe & Restaurant,3477797,Fener Kalamis Cad. No:100/A D:1-2
Dora Cafe & Restaurant,4699056,Eski Uskudar Yolu Topcu Ibrahim Sok. No:11
Burger King,3370320,Sogutlucesme Cad. No:84-86
Etiler Marmaris Bufe,7290555,Ataturk Cad. Sahil Yolu Iskele Meydani No:33
Etiler Marmaris Bufe,8739799,Baris Mah. Attaurk Bulv. Surmen Center No:15-17
Burger King,559 67 78,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:2
Popeyes Louisiana Kitchen,3104883,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:3
Oscar Iskembe Salonu,5231322,Millet Cad. Fildisi Is Merkezi No:90 D:15
Meşhur Adıyaman Çiğ Köftecisi Ömer Usta,4494674,"Rıhtım Cad. No:14 Kadıköy Merkez, Kadıköy"
Resto Kofte,4147155,Zuhtu Pasa Mah. Recep Peker Sok. Varol Sitesi No:44 D:15
Burger King,4862648,Nato Yolu Maxi City Alisveris Merkezi K:2
Royal Vista Restaurant,7238080,Arap Tepe Mevki E-5 Karayolu 3260 Sok. Premier Vista Hotel No:37
Site Lokantası,2620404,"Cami Sitesi No:10 Tarabya, Sarıyer"
Chicken Lovers,6800081,Orhan Veli Kanik Cad. Ak Bey Sok. No:4/A
Alia Restaurant,5750135,E-5 Karayolu No:12
Sophie Cafe,5424430,Kartaltepe Mah. Pelinli Sok. No:17/A
Tatsos,6427345,Merkez Mah. Cavusbasi Cad. No:29
Gaziantep Sark Sofrasi,3954038,Postahane Mah. Cumhuriyet Cad. No:47
Saros Balik,3630996,Plaj Yolu No:23
Vakiftepe Sosyal Tesisi,2290470,Baltalimani Mah. Tepeustu Sok. No:2
Alaturka Garden,4423736,Adnan Kahveci Bulv. No:79
Ace Restaurant,3370444,4. Levent Büyükdere Cad. No:161 Beşiktaş
A' La Et Kebap,4622698,Küçüksu Mah. Rasathane Cad. Boğaziçi Kandilli Evleri F Blok
Pilove,344 0600,Buyukdere Cad. Metrocity Alisveris Merkezi No. 171 K 2
Meshur Kavacik Lokantasi,331 0612,Okul Cad. No:26/B
Tomatito,902163451080,159 Moda Caddesi
Karisik Tost & Kumpir,5378260,Kavacik Mah. Fatih Sultan Mehmet Cad. No:9/B
Durumbar,6606003,Cevizlik Mah. Istanbul Cad. No:8
Karya Bar & Restaurant,662 5139,Yesilyurt Mah. Sahil Yolu Cad. Yesilyurt Spor Kulubu Yesilkoy
Carlotta Capitol,+(90)0216 651 88 51,"Mahir İz Cad. Capitol Alışveriş ve Eğlence Merkezi Kat:2 No:80/A Üsküdar, İstanbul"
Lagash,3230903,Fevzi Pasa Cad. No:44/B
Alo Burger,5832114,Zuhuratbaba Cad. Yeni Incirli Sok. No:2
Soylu Bufe,3228085,Bogazici Cad. No:5/A
Soylu Bufe,3227010,Cagatay Sok. No:2
Gul Bufe,5269637,Asirefendi Cad. Ayyildiz Han No:10
Tencere Ev Yemekleri Manti ve Edirne Cigeri,3223055,Ruzgarlibahce Mah. Seyfi Baba Sok. No:18
Maltiz Kofte,2660753,Cemal Sahir Cad. Profilo Alisveris Merkezi No:33 K:3
Maltiz Kofte,6375082,Keresteciler Sitesi Fatih Cad. Savur Sok. Mercan Is Merkezi D:2
Maltiz Kofte,6251156,Kazim Karabekir Cad. No:2
Maltiz Kofte,5347100,Adnan Menderes Bulv. Historia Alisveris Merkezi No:2 K:3 D:317
Kefelioglu Lezzet Sofrasi,6414131,Camlik Mah. Sahinbey Cad. Tepeustu Sok. No:5
Burger King,5599015,6. Kisim Adnan Kahveci Bulv. Atakoy Plus Alisveris Merkezi K:3
Burger King,4418099,Adnan Kahveci Bulv. E-5 Karayolu CarrefourSA K:2 D:227
Burger King,8531552,Baris Mah. Sakarya Cad. Koctas K:Giris D:21-22
Burger King,8721180,Beylikduzu Mah. Turgut Ozal Bulv. Istanbul Cad. Fox City Outlet No:2 K:2
Burger King,5802626,Tevfik Bey Mah. Halkali Cad. ArmoniPark Outlet Center No:132 K:2
Marmaris Bufe,5808787,38. Ada Ata 3 Blok No:3 D:2
Gell,3457450,Fahrettin Kerim Gokay Cad. No:108 D:2
Ziya Şark Sofrası,6402800,Kocatepe Mah. Hudut Yolu Şehir Parkı Bayrampaşa
Bereket Doner,5417119,Cennet Mah. Yahya Kemal Beyatli Cad. No:33
Sbarro,6616232,1. Kisim Mah. Fisekhane Cad. Capacity Alisveris Merkezi No:7 K:2 D:26
Little Caesars,3718105,Feyzullah Mah. Bagdat Cad. No:82/A
Mix Etiler Bufe,3860099,Iskele Sok. No:17/D
Yesil Istanbul,6658307,Yenidogan Mah. 48 Sok. No:144
Hain Kofte,4412623,Adnan Kahveci Bulv. No:52/B
Bizim Burger,873 7373,Beylikduzu Mah. Bizim Kent Konutlari D 21 Blok No. 1 Kavakli
Çiğköfteci Kahtalı Hasan Usta,4292245,Mustafa Kemal Paşa Mah. İstiklal Cad. No:82/A
Dilan Kebap ve Lahmacun Salonu,4521407,Cumhuriyet Mah. Zeytinlik Cad. No:32
As Kebap,3342124,Sultantepe Mah. Selvilik Cad. No:70 D:2
Cinar Bufe,2581761,Emirhan Cad. No:97
Gürkan Pide ve Yemek Salonu,02163969647,Kavakpinar Mah. Abdi Ipekci Cad. Pazar Sok. No:17/B
Bistro Sultan Mehmed,212 638 3334,Kucuk Ayasofya Cad 43
Has Kebap,4147672,Rihtim Cad. Misaki Milli Sok. No:79/A
Evimiz Osmanli Mutfagi,2778400,Istinye Cad. No:36/B
Dongel Ocakbasi,902163922083,Aydınlı yolu 16 içmeler mevkii
Kebabking Aksaray,+(90)0212 534 15 34,Iskenderpaşa Mah.Simitçi Sakir Sok.No:24/ b
Caramella,2773666,Poligon Mah. Balabandere Cad. Kabiller Sok. No:34
Altinboynuz Bufe,5129446,Uzuncarsi Cad. No:289
Erzurum Sofrasi,5528989,Mahmutbey Yolu Cad. No:210
Kosem Ev Yemekleri,4529052,Mahmutbey Yolu Cad. No:21
Sultanahmet Köftecisi,4162030,"Bayar Cad. No:111/A Kozyatağı, Kadıköy"
Koala Pizza,+(90)2122240908,Yuksek Kaldirim Caddesi No:10 Beyoglu
WienerWald,4569191,Atasehir Bulv. Ata 1 Blok No:19
Latife Restaurant,4378520,Otakcilar Cad. Flatofis No:78 K:4
Köşem Döner,(0216) 324 8331,Kayışdağı Yolu Cad. No:110
Sariyer Mesire Iskembe Salonu,2424355,Yeni Mahalle Cad. No:26
Vitamin Kosesi,5123277,Rustem Pasa Mah. Tahamisonu Sok. No:64
Tatlıses Çiğ Köfte,4236495,"Mustafa Kemal Paşa Mah. İstiklal Cad. No:74 Avcılar Merkez, Avcılar"
Marmaris Bufe,3540074,Bati Mah. Gazi Pasa Cad. No:9/B
Oz Mersin Tantuni,4621150,Istanbul Cad. No:46/B
Menekse Kofte Salonu,3542135,Dogu Mah. Gazi Pasa Cad. Menekse Sok. No:6
Tekes Kebap,2421164,Buyukdere Cad. Hancerli Cavus Sok. No:3/A
Ziyade,2421069,Yeni Mahalle Cad. No:23
Çiftlik Balık Restoran,2652903,Kültür Mah. Sekbanlar Sok. No:84 Arnavutköy
Yagmur Bufe,5278408,Ankara Cad. Vilayet Han No:10
Marmaray Bufe,5262726,Ankara Cad. No:35
Napoli Pizza,3474166,19 Mayis Mah. Ayhan Isik Sok. No:10
Dalindan Vitamin & Fast Food,5136535,Ankara Cad. No:225
Yanar Doner,5272191,Makascilar Cad. No:24
Yagmur Ev ve Diyet Yemekleri,3281972,Kavaklidere Cad. No:13/A
Oz Urfam Ocakbasi,2994528,Cumhuriyet Mah. Arabayolu Cad. No:51
Yildiz Kebap Salonu,2999860,Cumhuriyet Mah. Arabayolu Cad. No:53/A
Melodi Fast Food,3287723,Alemdag Cad. Gunes Sok. No:8/A
Oz Can Kebap Durum,4433764,Cavusbasi Cad. Ayazma Sok. No:38/B
Pirlanta Bufe,5721818,Halkci Sok. No:30 D:16
Damak Iskender Kebapcisi,5235020,Alemdag Cad. Zumrut Sok. No:2/A
Cesme Fast Food,4671176,Bagdat Cad. Campalas Apt. No:174
Kapadokya Kumpir,3701430,Ataturk Cad. No:44
Sofram Gaziantep Kebapcisi,3432219,Sehit Astegmen Halil Ogel Sok. No:2/B
Bagdat Ocakbasi,3354475,Istiklal Mah. Mithat Pasa Cad. Gamsiz Sok. No:6/B
Tosya Kebap Salonu,3356986,Sutcu Imam Cad. No:149/C
Evsen Restaurant,5276295,Ibn-i Kemal Cad. Evsen Hotel No:19
Durumcu Bilal Usta'nin Yeri,2991766,Cumhuriyet Mah. Arabayolu Cad. No:102
Aperatif Sandvic Evi,5131008,Hamidiye Cad. No:16 D:7
Durumcu Bilo,5279031,Sururi Mah. Haci Kucuk Sok. No:12
Serdivan Restaurant,5612570,Yakacik Cad. Yatas Sok. No:2
Kofte Piyaz,5272444,Hobyar Mah. Yalikosku Cad. No:64/A
Ye & doy Bufe,5126081,Mahmut Pasa Yokusu No:99
Meydan Kosem Kebap,2236400,Cumhuriyet Mah. Arabayolu Cad. No:61
Tadal Bufe,5279723,Hudavendigar Cad.
Antepli Unlu Kebap,2998679,Omurtepe Mah. Arabayolu Cad. No:44 D:4
Izgara Grill,5115245,Yeniceriler Cad. No:32/B
Cigkoftem,5262098,Hobyar Mah. Seyhul Islam Hayri Cad. No:2 D:2
Hanimeli Ev Urunleri,2992997,Araba Yolu Cad. No:4
Mevlana Etli Ekmek Ve Firin Kebap,4834004,Bati Mah. Ismet Pasa Cad. No:47
Semazen Cafe Doner,2599333,Sinan Pasa Mah. Orta Bahce Cad. No:30
Kubi Restaurant,0212 328 38 65,Atatürk Oto Sanayi Sitesi 2. Kısım Yeni Çarşı D:9
Akseker Kokorec Durumcu,4152122,58. Bulvar Cad. No:68
Kosem Burger,5479301,58. Bulv. Meydan Sok. No:1
Hacibey Lahmacun,5465571,58. Bulvar Cad. No:8
Keyf-i Tantuni,3547548,Bati Mah. Ismet Pasa Cad. No:46/B
Basak Kofte,4917485,Bati Mah. Ihlamur Sok. Cadirci Is Merkezi No:18 D:27
Elmas Bufe,4165707,58. Bulvar Cad. No:113
Ozturkler Kofte Doner,5472862,Yenidogan Mah. 58. Bulv. No:123/A
Sevendoors Bufe,2914087,Binbasi Refikbey Sok. D:6-8
Yasar Bafra Pide ve Corba Salonu,3758132,Ankara Cad. Karanfil Sok. No:55
Liva Cafe Fast Food,4157597,58. Bulvar Cad. No:137/B
Kardelen Yemek Salonu,3974688,Fevzi Cakmak Mah. Marmara Cad. No:51
Gizem Kebap,3970106,Fevzi Cakmak Mah. Marmara Cad. No:60/A
Kastamonu Sofrasi,5370883,Orhan Veli Cad. Yayabey Sok. No:28
Guney Bufe,4701407,Esat Pasa Mah. Ziya Pasa Cad. No:93
Yorem Kebap,4128066,Istiklal Mah. Talat Pasa Cad. No:68
Oz Eyvan Pide Kebap Ve Lahmacun Salonu,5970528,Cumhuriyet Cad. No:29
Çarıklı Piliç,5051019,Atatürk Mah. Sütçü İmam Cad. Yayla Sok. No:143/B
Cagri Bufe,4710962,YEDPA Ticaret Merkezi F Cad. D:46
Mirror Restaurant,2583721,Kurucesme Mah. Muallim Naci Cad. Sortie D:141-142
Midilli Restaurant,2523900,"Meşrutiyet Cad. Orhan Adli Apaydın Sok. No:17/A Tepebaşı, Beyoğlu"
Çarşı Ocakbaşı,02122596559,Sinan Paşa Mah. Yeni Hamam Sok. No:7
Oses Cig Kofteci Osman Usta,5886786,Davut Pasa Mah. Koca Mustafa Pasa Cad. No:122/A
Oses Cig Kofteci Osman Usta,4872487,Basaksehir Mah. 4. Etap 1. Kisim Piramit Carsisi No:10
Oses Cig Kofteci Osman Usta,4883149,Basaksehir Mah. 4. Etap 1. Kisim ARC Carsisi No:3
Oses Cig Kofteci Osman Usta,4295390,Kazim Karabekir Mah. Imam Hatip Bulv. No:60
Yemekhane,5262686,"Tahtakale Mah. Uzunçarşı Cad. Kahveciler Sok. No:16 Eminönü/Cağaloğlu, Fatih"
Oses Cig Kofteci Osman Usta,8800630,Merkez Mah. Ataturk Cad. No:118
Oses Cig Kofteci Osman Usta,6600329,Hatboyu Cad. No:18/B
Kuğu Restoran,0212 590 3872 ,Deniz Köşkler Mah. Kemal Sunal Cad. No:54/A
Oses Cig Kofteci Osman Usta,4424399,Yarbay Cesur Cad. No:16
